call_id,customer_id,vehicle_id,agent_id,branch,call_date,call_type,issue_category,priority,call_duration_mins,call_notes
1,1,2,101,Singanallur,2026-03-24,Complaint,Clutch Issue,Low,24,Clutch response not smooth.
2,1,2,103,Singanallur,2024-10-22,Service Inquiry,Oil Change,Low,8,Customer contacted branch regarding oil change.
3,1,1,108,Singanallur,2025-08-25,Service Inquiry,Brake Inspection,Medium,11,Customer contacted branch regarding brake inspection.
4,2,4,230,Omalur,2025-10-01,Follow Up,Previous Complaint Follow Up,Medium,4,Customer requested update regarding previous complaint follow up.
5,2,4,231,Omalur,2025-04-30,Complaint,Low Mileage,Low,19,Customer dissatisfied with fuel efficiency.
6,2,4,236,Omalur,2026-01-06,Complaint,Tyre Wear,Low,2,Uneven tyre wear observed.
7,2,5,230,Omalur,2024-10-20,Complaint,Battery Drain,Low,22,Battery draining overnight.
8,2,5,232,Omalur,2024-11-21,Complaint,Engine Overheating,High,18,Engine temperature rises significantly in traffic conditions.
9,3,6,194,Hasthampatti,2026-01-31,Service Inquiry,Brake Inspection,Low,11,Customer contacted branch regarding brake inspection.
10,3,6,202,Hasthampatti,2026-02-23,Service Inquiry,Periodic Service,Medium,4,Customer contacted branch regarding periodic service.
11,4,7,13,Velachery,2026-03-23,Complaint,Tyre Wear,Low,8,Uneven tyre wear observed.
12,4,8,19,Velachery,2024-07-30,Complaint,Oil Leakage,Medium,19,Oil leakage observed beneath vehicle.
13,4,7,22,Velachery,2025-04-28,Complaint,Oil Leakage,Medium,25,Oil leakage observed beneath vehicle.
14,5,9,236,Omalur,2025-04-15,Complaint,Engine Overheating,High,13,Customer reports engine overheating during long rides.
15,5,9,230,Omalur,2024-07-05,Complaint,Tyre Wear,Low,18,Customer concerned about tyre condition.
16,5,9,236,Omalur,2026-03-20,Complaint,Tyre Wear,Low,12,Customer concerned about tyre condition.
17,6,11,210,Ammapet,2025-03-13,General Query,Service Center Location,Low,12,Customer requested information regarding service center location.
18,6,11,210,Ammapet,2025-10-01,Follow Up,Escalation Follow Up,Medium,17,Customer requested update regarding escalation follow up.
19,6,11,208,Ammapet,2024-10-09,General Query,Spare Parts Availability,Low,6,Customer requested information regarding spare parts availability.
20,7,12,8,Anna Nagar,2026-02-24,Complaint,Headlight Failure,Low,13,Headlamp requires inspection.
21,7,12,2,Anna Nagar,2024-12-12,Follow Up,Repair Status Check,Medium,11,Customer requested update regarding repair status check.
22,8,14,210,Ammapet,2025-05-04,General Query,AMC Plan Details,Low,2,Customer requested information regarding amc plan details.
23,9,15,225,Suramangalam,2025-05-10,Complaint,Engine Overheating,High,13,Engine temperature rises significantly in traffic conditions.
24,9,15,226,Suramangalam,2025-05-07,Complaint,Battery Issue,Medium,23,Battery not retaining charge properly.
25,9,15,221,Suramangalam,2024-06-04,Follow Up,Previous Complaint Follow Up,Medium,6,Customer requested update regarding previous complaint follow up.
26,9,15,223,Suramangalam,2025-01-02,Complaint,Oil Leakage,Medium,4,Customer reports oil dripping after parking.
27,10,16,3,Anna Nagar,2026-04-13,Complaint,Electrical Fault,Low,11,Electrical system malfunction reported.
28,10,16,4,Anna Nagar,2024-08-17,Complaint,Engine Vibration,Low,20,Excessive engine vibration observed.
29,11,17,210,Ammapet,2024-06-26,Complaint,Battery Issue,Medium,14,Battery not retaining charge properly.
30,11,17,214,Ammapet,2025-11-15,Complaint,Engine Overheating,High,2,Vehicle becoming excessively hot after continuous usage.
31,11,17,216,Ammapet,2024-07-17,Service Inquiry,Wheel Alignment,Medium,3,Customer contacted branch regarding wheel alignment.
32,11,17,212,Ammapet,2025-06-05,Complaint,Oil Leakage,Medium,17,Oil leakage observed beneath vehicle.
33,12,18,150,Mattuthavani,2026-03-09,Complaint,Clutch Issue,Low,13,Clutch response not smooth.
34,12,18,150,Mattuthavani,2024-12-22,Service Inquiry,Battery Check,Medium,13,Customer contacted branch regarding battery check.
35,12,18,151,Mattuthavani,2024-06-03,Complaint,Exhaust Heating,Low,3,Customer reports excessive heat near exhaust area.
36,12,18,144,Mattuthavani,2024-07-13,Complaint,Electrical Fault,Low,21,Customer reports intermittent electrical issues.
